id_petak,rezim,luas_m2,luas_ha,perk_per_mm,hujan_mm,irigasi_mm,etc_mm,perkolasi_mm,limpasan_mm,irigasi_m3,etc_m3,perkolasi_m3,limpasan_m3,tma_rata,tma_min,hari_diairi,hari_kering,nfr_mm_hari,dr_l_detik_ha,debit_l_detik,perk_pl_mm_hari,IR_mm_hari,dr_pl_l_detik_ha,debit_pl_l_detik,isi_mm,isi_m3,Q_isi_l_detik,diameter_cm
PTK-01,FL,1426.064510195727,0.1426064510195727,0.09867938507625332,215.8,462.0074606497971,510.752,165.78600756326526,24.159047179965675,658.8524430783245,728.365300711488,236.42154167301297,34.45235978349321,8.90318156962965,-4.821927204481267,53,11,4.200067824089064,0.7478753248021838,0.10665184587514964,4.933969253812666,13.473972222171911,2.3992115780220638,0.34214304838679516,81.4525327587146,116.15656623275774,5.377618807072118,15.789903317169953
PTK-02,FL,2627.3899985603202,0.262738999856032,0.04980017363475875,215.8,404.7603639885459,510.752,86.11189883894014,38.87246688595336,1063.4633321571403,1341.9446965446807,226.24954176646935,102.13313071552109,9.94011091375434,-5.737588602236558,47,11,3.6796396726231446,0.6552064944129531,0.1721482990412361,2.4900086817379377,11.893069106670094,2.1177117355181787,0.556405463373428,81.20813670150713,213.3654461712591,9.87802991533607,21.400288705840882
PTK-03,FL,2467.019243047165,0.24670192430471652,0.055669327857519414,215.8,405.178948305418,510.752,95.65267734694324,36.9723670694735,999.5842623470787,1260.0350124248257,235.97699566389062,91.21154102139445,9.771385302884052,-4.306254506569849,47,12,3.683444984594709,0.6558840784534737,0.16180786427529764,2.7834663928759706,12.077042253266105,2.1504704866926825,0.530525207227585,81.23748247262093,200.41443251666263,9.278445949845493,20.740636727813243
PTK-04,FL,2624.456844659373,0.2624456844659373,0.0678386422350675,215.8,425.8892366731889,510.752,116.40869686428762,37.0694540235294,1117.7279222537063,1340.446582323464,305.50960126335775,97.28718233983767,9.561220693661928,-4.460363113300337,50,11,3.8717203333926267,0.6894088912736158,0.18093238834720704,3.3919321117533747,12.463642479501788,2.219309558315845,0.582448216073999,81.29832904450868,213.36395612023068,9.877960931492161,21.400213980578574
PTK-05,FL,2703.5121869464056,0.27035121869464057,0.04130162124361437,215.8,389.671160305273,510.752,72.53383844842507,37.27633806928416,1053.480730786852,1380.8242565072505,196.09611621131893,100.77703425504396,10.323965074379911,-5.618149543949558,45,12,3.5424650936843003,0.6307808215249822,0.1705323638284855,2.0650810621807185,11.629560200932083,2.070790634069103,0.5598407715820295,81.1656439395514,219.43230755192988,10.15890312740416,21.702405474819546
PTK-06,FL,3029.7854154821,0.30297854154820997,0.06438156097030819,215.8,421.4298478360311,510.752,110.8541617596035,38.12432944984374,1276.8420066224476,1547.4689605283133,335.86432254474016,115.50853734217128,9.655458359260626,-4.41725232897728,49,12,3.8311804348730103,0.6821902483748237,0.20668900651101518,3.219078048515409,12.353113939873504,2.199628550547276,0.6664402501926167,81.28104363818487,246.2641205701366,11.40111669306188,22.991015763373454
PTK-07,FL,2841.467973751882,0.28414679737518816,0.09180963776110729,215.8,454.06520601479986,510.752,155.8416390098086,26.08513972053229,1290.2117408861043,1451.2854505297212,442.8190262233731,74.12008910673562,9.134221387499514,-4.744929099306582,53,11,4.127865509225453,0.7350187872552444,0.20885323440917247,4.590481888055365,13.245177405114177,2.3584717601699032,0.6701521973521009,81.41818402213887,231.3471623799448,10.710516776849296,22.283821794651676
PTK-08,FL,727.1039069538456,0.07271039069538456,0.061940343628666385,215.8,414.8065922874169,510.752,107.34125848396471,34.9853959389713,301.60749388239174,371.36977468449055,78.04824842103336,25.438018073553238,9.817267609131658,-4.386490884646843,48,12,3.770969020794699,0.6714688427340987,0.048822761894974046,3.097017181433319,12.275399351136082,2.185790482752151,0.15892967997916213,81.26883755147666,59.09088929727608,2.735689319318337,11.262060375181198
PTK-09,FL,808.4572201728224,0.08084572201728224,0.06682596343279747,215.8,424.3484352732365,510.752,114.54834283389071,37.377234917145316,343.0675563656876,412.9211421177094,92.60743482289072,30.217895438861856,9.558652144648892,-4.447789401610023,49,12,3.8577130479385136,0.686914716513268,0.0555341162208119,3.3412981716398735,12.43120796532345,2.2135341818595884,0.17895476914237254,81.29326565049732,65.72212756657186,3.0426910910449934,11.877181557376735
PTK-10,FL,877.470651457978,0.08774706514579779,0.058686597183134036,215.8,410.8676656561103,510.752,102.33857817648467,36.01087016479879,360.5243182462858,448.1698901734652,89.79909886180322,31.598481703074654,9.951942882787971,-4.345078953091978,48,12,3.73516059687373,0.6650926988735274,0.05835993237604988,2.9343298591567017,12.172250992784369,2.167423609826276,0.19018506068996646,81.252568819249,71.29674449446061,3.30077520807688,12.37064767766953
