id_petak,rezim,luas_m2,luas_ha,perk_per_mm,hujan_mm,irigasi_mm,etc_mm,perkolasi_mm,limpasan_mm,irigasi_m3,etc_m3,perkolasi_m3,limpasan_m3,tma_rata,tma_min,hari_diairi,hari_kering,masuk_mm,keluar_mm,delta_simpanan_mm,etc_pct,perkolasi_pct,limpasan_pct
PTK-01,FL,1426.064510195727,0.1426064510195727,0.09867938507625332,215.8,462.0074606497971,510.752,165.78600756326526,24.159047179965675,658.8524430783245,728.365300711488,236.42154167301297,34.45235978349321,8.90318156962965,-4.821927204481267,53,11,677.8074606497971,700.697054743231,-22.889594093433857,72.8919861361718,23.66015476174896,3.447859102079244
PTK-01,SRI,1426.064510195727,0.1426064510195727,0.09867938507625332,215.8,455.6573274045,488.4549999999999,183.06572740070087,35.084057866544356,649.7967434221923,696.5683403276537,261.06353687930493,50.03212979713212,-6.362061088381658,-38.0441446568628,14,74,671.4573274045,706.6047852672452,-35.14745786274523,69.12704388426427,25.907796156724796,4.96515995901092
PTK-02,FL,2627.3899985603202,0.262738999856032,0.04980017363475875,215.8,404.7603639885459,510.752,86.11189883894014,38.87246688595336,1063.4633321571403,1341.9446965446807,226.24954176646935,102.13313071552109,9.94011091375434,-5.737588602236558,47,11,620.560363988546,635.7363657248935,-15.17600173634753,80.34022081112491,13.545221491419907,6.114557697455191
PTK-02,SRI,2627.3899985603202,0.262738999856032,0.04980017363475875,215.8,364.7715719270296,488.4549999999999,96.86644082707724,35.51834047622938,958.397179840204,1283.361781746781,254.50591782519783,93.32053253270529,-4.6336244069105845,-33.56501562712829,12,71,580.5715719270296,620.8397813033065,-40.2682093762769,78.67649830276726,15.602486139617056,5.721015557615688
PTK-03,FL,2467.019243047165,0.24670192430471652,0.055669327857519414,215.8,405.178948305418,510.752,95.65267734694324,36.9723670694735,999.5842623470787,1260.0350124248257,235.97699566389062,91.21154102139445,9.771385302884052,-4.306254506569849,47,12,620.978948305418,643.3770444164168,-22.398096110998722,79.38610872622664,14.867281662762183,5.746609611011184
PTK-03,SRI,2467.019243047165,0.24670192430471652,0.055669327857519414,215.8,372.15258566732376,488.4549999999999,105.78045127047477,34.30227810115494,918.1075901910464,1205.027884362603,260.96240882247423,84.6243801559046,-5.131976829852308,-34.09323950717675,12,70,587.9525856673238,628.5377293716296,-40.58514370430578,77.71291637310698,16.82961043185539,5.457473195037645
PTK-04,FL,2624.456844659373,0.2624456844659373,0.0678386422350675,215.8,425.8892366731889,510.752,116.40869686428762,37.0694540235294,1117.7279222537063,1340.446582323464,305.50960126335775,97.28718233983767,9.561220693661928,-4.460363113300337,50,11,641.6892366731889,664.230150887817,-22.54091421462806,76.89382954346826,17.52535573832271,5.580814718209039
PTK-04,SRI,2624.456844659373,0.2624456844659373,0.0678386422350675,215.8,406.93151545833416,488.4549999999999,128.24792392553687,31.882687093028466,1067.9742010522366,1281.929068058094,336.5811417597298,83.6747363674316,-6.000520447454703,-36.48547780115607,13,74,622.7315154583341,648.5856110185653,-25.854095560231144,75.31079809694056,19.773476584553134,4.91572531850631
PTK-05,FL,2703.5121869464056,0.27035121869464057,0.04130162124361437,215.8,389.671160305273,510.752,72.53383844842507,37.27633806928416,1053.480730786852,1380.8242565072505,196.09611621131893,100.77703425504396,10.323965074379911,-5.618149543949558,45,12,605.4711603052731,620.5621765177093,-15.091016212436216,82.30472615428963,11.68840789740835,6.00686594830202
PTK-05,SRI,2703.5121869464056,0.27035121869464057,0.04130162124361437,215.8,339.2608294720574,488.4549999999999,82.14210213773968,37.358873246243,917.1957870312534,1320.5440452749062,222.07217419077563,101.00016911180397,-4.152623924834046,-35.19100427669541,11,71,555.0608294720574,607.9559753839826,-52.89514591192517,80.3438110286676,13.511192498084922,6.144996473247472
