id_petak,rezim,cara_ambil_air,luas_ha,luas_m2,hujan_mm,irigasi_mm,etc_mm,perkolasi_mm,limpasan_mm,irigasi_m3,etc_m3,perkolasi_m3,limpasan_m3,tma_min_mm,tma_maks_mm,hari_diairi,irigasi_maks_harian_mm
P01,FL,chokubun,0.10427900669795272,1042.7900669795272,215.8,387.9646198125664,510.752,70.34306138472365,37.746611901791205,404.56565188003293,532.6071122899275,73.35304569292097,39.36179195331907,-5.598191238426792,50.0,45,15.598191238426793
P01,SRI,chokubun,0.10427900669795272,1042.7900669795272,215.8,337.4025115022745,488.4549999999999,79.55337373787577,37.96361902993462,351.8399875685175,509.3560221664849,82.95746792856683,39.588084831010775,-35.01507377175033,40.0,11,35.01507377175033
P02,FL,chokubun,0.3604985510187715,3604.9855101877147,215.8,403.0068419680757,510.752,83.86041094904333,39.355701259191534,1452.8338258014232,1841.2535592993959,302.31556634968837,141.8767327826619,-5.717134969236194,50.0,47,15.717134969236195
P02,SRI,chokubun,0.3604985510187715,3604.9855101877147,215.8,350.1404524605947,488.4549999999999,95.18406897735133,35.828815644674904,1262.2512576510144,1760.87319737874,343.13718946405953,129.16236124623993,-36.07620502600411,40.0,11,36.27725050378072
P03,FL,chokubun,0.6031811898544184,6031.811898544183,215.8,403.4189022880017,510.752,93.39981629864668,37.447616272336695,2433.346934918402,3080.759990805239,563.370123272018,225.87697740359727,-4.287067524850528,50.0,47,15.076039588019409
P03,SRI,chokubun,0.6031811898544184,6031.811898544183,215.8,370.0872611310005,488.4549999999999,103.33178236019589,34.60572675073615,2232.296745189597,2946.2686809033985,623.2778743380076,208.73523437285905,-33.960079966552605,40.0,12,35.74740389272762
P04,FL,chokubun,0.6911895270939636,6911.895270939636,215.8,376.497128234109,510.752,55.6842607965713,40.847735599965546,2602.308720163692,3530.264333422961,384.88377886559056,282.33527052199446,-5.466985285010385,50.0,44,15.466985285010384
P04,SRI,chokubun,0.6911895270939636,6911.895270939636,215.8,321.99880532975476,488.4549999999999,61.5721628562795,39.729455935325575,2225.6220198069445,3376.1498045668195,425.5803412678434,274.6058385963815,-33.87873884659048,40.0,10,33.87873884659048
P05,FL,shusui,0.6317444429224944,6317.4444292249445,215.8,523.4960665545974,510.752,228.45424180392828,23.388146313328292,3307.1573093765123,3226.647377115499,1443.2469772170352,147.75331463703375,-4.100469722216004,50.0,57,14.288172757496048
P05,SRI,shusui,0.6317444429224944,6317.4444292249445,215.8,499.52684440627206,488.4549999999999,245.5339473325177,26.325373733865973,3155.7330804427193,3085.78731867707,1551.1470677614248,166.30908564227627,-34.076938941270235,40.0,16,36.92593894127023
P06,FL,shusui,0.6063106439224238,6063.106439224239,215.8,481.27849908279376,510.752,179.77956791368157,29.521232627231896,2918.042766849064,3096.7437400466583,1090.022655858394,178.9903756360064,-4.9064768017626,50.0,54,13.517089723776639
P06,SRI,shusui,0.6063106439224238,6063.106439224239,215.8,471.76443736581825,488.4549999999999,200.64997162886414,25.00832423433063,2860.3579979896926,2961.554655771275,1216.5621350131269,151.6281316993776,-36.06029248688245,40.0,15,36.19161690544388
P07,FL,shusui,0.5376128646143977,5376.128646143978,215.8,476.3983925427542,510.752,173.82284762680567,30.5531846779174,2561.1790451260445,2745.868458275329,934.4939904807898,164.257851377879,-4.862063571379738,50.0,54,13.467462564355609
P07,SRI,shusui,0.5376128646143977,5376.128646143978,215.8,443.19973141082005,488.4549999999999,195.73732866849582,25.687371148808097,2382.6987720010266,2625.9969178522565,1052.3090597743992,138.09861187723956,-37.357624980777146,40.0,14,37.357624980777146
P08,FL,shusui,0.41392062986983874,4139.206298698387,215.8,522.2454205127524,510.752,226.9117390011177,23.668826518278458,2161.681534052773,2114.1078954727986,939.234499322031,97.97015580725761,-4.088082504304769,50.0,57,14.255980424846879
P08,SRI,shusui,0.41392062986983874,4139.206298698387,215.8,498.0973317868685,488.4549999999999,243.81094004092841,26.55991823259444,2061.7276130970668,2021.8160126307205,1009.1837787089858,109.93698084126906,-33.99288036059974,40.0,16,36.84188036059974
P09,FL,tagoshi,0.23685504526999376,2368.5504526999375,215.8,377.9692317204028,510.752,57.56990922849221,40.44570067471234,895.2391948980076,1209.7418808173984,136.35723456503953,95.79768264285609,-5.483952749115338,50.0,44,15.483952749115339
P09,SRI,tagoshi,0.23685504526999376,2368.5504526999375,215.8,323.7177388354746,488.4549999999999,63.661888740538984,39.462253740151965,766.7417968657635,1156.9303113735477,150.78639539613667,93.46833896079674,-34.023765103302765,40.0,10,34.023765103302765
P10,FL,tagoshi,0.1816409234566081,1816.409234566081,215.8,400.17328148492527,510.752,80.22474768643339,40.134234072306725,726.8784439158301,927.7346493730951,145.72097253837146,72.9001933911746,-5.684192030180103,50.0,47,15.684192030180103
P10,SRI,tagoshi,0.1816409234566081,1816.409234566081,215.8,346.8110984129591,488.4549999999999,91.14135852219434,36.33004235509793,629.9508818073049,887.234172669975,165.5500052706118,65.99022442597673,-35.77922345006646,40.0,11,35.77922345006646
P11,FL,tagoshi,0.14456520402603465,1445.6520402603464,215.8,394.7446571769103,510.752,73.32652425960684,41.561151283227986,570.6634190296714,738.3696708670525,106.00463940110043,60.08296314816746,-5.623852720660582,50.0,46,15.623852720660583
P11,SRI,tagoshi,0.14456520402603465,1445.6520402603464,215.8,339.8372198740854,488.4549999999999,82.85175607222746,37.26162909517821,491.28637026737556,706.1359673253675,119.77481020496818,53.867350124868665,-35.24143141064824,40.0,11,35.24143141064824
P12,FL,tagoshi,0.050925879283292626,509.25879283292625,215.8,378.09951567116514,510.752,57.73684647663075,40.41007003363592,192.55050292141166,260.10494695700277,29.40299673866897,20.57918348362344,-5.485457141187115,50.0,44,15.485457141187116
P12,SRI,tagoshi,0.050925879283292626,509.25879283292625,215.8,323.8699112410887,488.4549999999999,63.84695216972965,39.43856662327254,164.93360003354383,248.750003653207,32.514621788018104,20.084436829628714,-34.03665057267886,40.0,10,34.03665057267886
