hujan_mm,irigasi_mm,irigasi_pl_mm,etc_mm,perkolasi_mm,limpasan_mm,wlr_mm,masuk_mm,keluar_mm,tma_rata,tma_min,hari_kering,hari_diairi,hari_limpas,zona,rezim,bulan,tahun_tanam
2031.0000000000002,223.3970674338401,123.39706743384008,469.6122381335259,280.0,1291.3487716485624,100.0,2254.39706743384,2040.9610097820882,42.99940803401745,31.046047985481117,0,48,87,R054,FL,1,2016
1427.8000000000002,186.5421341470606,73.54213414706061,479.8860428668206,280.0,641.7330933789783,100.0,1614.3421341470607,1401.619136245799,36.821538018248084,8.571155543842021,0,42,63,R054,FL,1,2017
1105.2,329.1765840834291,196.22752323129168,493.8008669646604,280.0,489.93116793214847,100.0,1434.3765840834292,1263.7320348968087,32.827085548130825,-5.316046948428353,7,55,49,R054,FL,1,2018
1611.9,240.440523142825,130.21763292785405,489.4462710961859,280.0,871.9780394384973,100.0,1852.340523142825,1641.4243105346832,41.565621299763116,7.577109785029076,0,51,78,R054,FL,1,2019
1950.8000000000002,214.1689451587864,114.16894515878641,493.5118302838823,280.0,1184.4537121183225,100.0,2164.9689451587865,1957.9655424022048,42.61364366020456,23.472658057800803,0,51,95,R054,FL,1,2020
1785.7000000000003,211.05562699338333,95.7556269933833,448.0819034408993,280.0,1066.0566853743744,100.0,1996.7556269933837,1794.1385888152736,41.78337628308174,14.385500283900765,0,47,89,R054,FL,1,2021
1326.0,247.90169665868706,112.62308687536522,506.5015302152443,280.0,571.0054095986561,100.0,1573.9016966586871,1357.5069398139003,39.94772734983095,3.8213902166781377,0,49,73,R054,FL,1,2022
1175.0,242.29620926346144,101.59214803911586,496.343648252406,280.0,428.84078278036696,100.0,1417.2962092634614,1205.1844310327729,34.08655989898704,3.2658378815783937,0,50,56,R054,FL,1,2023
1369.3,308.93941530136544,208.93941530136544,557.0759675004379,280.0,649.0136038457637,100.0,1678.2394153013654,1486.0895713462014,35.41787758105089,-0.4557215050941119,1,52,61,R054,FL,1,2024
2031.0000000000002,123.39706743384009,123.39706743384008,454.0946234491521,192.0,1304.0320805495203,0.0,2154.39706743384,1950.1267039986724,33.37774152511988,15.386210041459396,0,18,96,R054,SRI,1,2016
1427.8000000000002,73.54213414706061,73.54213414706061,463.62760632316645,192.0,639.0501534162117,0.0,1501.3421341470607,1294.6777597393782,28.09249668883768,0.47377609947935717,0,11,61,R054,SRI,1,2017
1105.2,207.47368302721458,196.22752323129168,477.1159506778217,190.07999999999998,475.61063149678256,0.0,1312.6736830272146,1142.8065821746043,26.842169395196944,-6.093495282438213,6,24,49,R054,SRI,1,2018
1611.9,130.21763292785403,130.21763292785405,473.06303503943855,192.0,875.3032686629213,0.0,1742.1176329278542,1540.3663037023598,32.158110950432395,6.137488047930601,0,20,78,R054,SRI,1,2019
1950.8000000000002,114.16894515878641,114.16894515878641,477.52372083313384,192.0,1197.6039856557297,0.0,2064.9689451587865,1867.1277064888636,33.345524538251844,22.53329387399305,0,21,93,R054,SRI,1,2020
